"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25097,0,0,0,0,0,0.38177,1.34067,0.01274,0,0,0,0.02565,0,0.49453,0,0,0,0.55502,0,0.10583,0,0.1222,0.06214,0,0,0.04643,0,0.05119,0,0,0,0,0,0.43657,0.0338,0.12682,0,0,0,0,0,0.02719,0,0,0,0,0,0,0.01333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_clostridioformis",0,0,0,0,3.36511,0,4.91009,0,0,0,0,0,0,0,0,0,0,4.1276,0,0,0,0,0,2.7226,2.63801,0,0,3.50454,0,3.51194,2.24251,3.05795,5.07658,3.89437,2.86651,2.50385,0,3.25095,2.99347,4.60892,2.55524,2.1822,0,4.30314,0,0.73842,3.70294,3.74426,0,2.08989,4.42601,3.64356,0,0,2.66027,2.70677,3.13678,5.13912,2.97123,2.94152,3.86189,3.88924,0,0,2.93548,2.79604,0,4.62072,0,4.46064,0,0,2.35429,0,2.45476,0,0,0,2.71264,3.07432,0,2.67123,0,3.60469,2.60914,0,3.08436,3.61947,0,0,0,0,0,2.00731,3.97385,4.3999,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0,0,0,0,2.10751,0,3.85052,0,0,0,0,0,0,0,0,0,0,3.78723,0,0,0,0,0,1.90649,3.73173,0,0,3.70012,0,2.86833,3.6424,2.97243,3.50254,1.91542,3.16478,2.84549,0,3.33811,1.88719,3.1446,2.7438,2.92883,0,3.99818,0,2.25028,4.52422,3.56585,0,3.88971,3.71452,2.53732,0,0,2.9494,2.43297,1.88352,4.09973,2.84985,2.43772,2.4674,4.00787,0,0,3.56563,2.62627,0,3.11861,0,3.26875,0,0,2.91597,0,3.51059,0,0,0,3.08906,3.42525,0,3.97647,0,3.72874,4.44861,0,3.72664,3.30705,0,0,0,0,0,2.86072,3.3641,2.38392,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",0,0,0,0,0,0,2.63656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76536,3.96282,0,0,4.30405,0,2.49212,4.32912,3.20813,1.99145,0,3.17964,3.85965,0,2.815,0,2.29898,3.44563,2.91734,0,2.69967,0,4.05567,2.32387,2.89043,0,2.90893,4.01542,3.79071,0,0,3.41769,0,3.75611,2.54759,2.80667,4.28589,0,2.23782,0,0,2.94889,3.68368,0,1.70571,0,2.12687,0,0,3.64146,0,0,0,0,0,0,2.41597,0,1.66912,0,0,0,0,0,0,0,0,0,0,0,0,1.79137,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0,0,0,1.89035,0,1.31833,0,0,0,0,0,0,0,0,0,0,1.87387,0,0,0,0,0,1.21453,1.38271,0,0,1.33734,0,0.99113,1.12807,0.99846,1.09418,1.5599,1.21023,0.93676,0,2.58906,1.52517,1.055,1.30476,1.22565,0,2.11407,0,0.78097,2.3043,1.07869,0,1.22513,1.24234,1.11193,0,0,0.96698,1.95995,1.29079,1.83269,1.25416,1.38453,1.70475,1.83791,0,0,1.20693,1.40472,0,1.32074,0,1.00035,0,0,0.82916,0,1.47554,0,0,0,1.38094,1.35756,0,1.75924,0,1.62366,1.4174,0,1.4583,1.66746,0,0,0,0,0,1.17021,1.44312,1.29697,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi",0,0,0,0,2.13188,0,1.50375,0,0,0,0,0,0,0,0,0,0,1.82451,0,0,0,0,0,0.34836,0.61351,0,0,0.93538,0,1.32588,0.71744,1.45261,1.5391,1.98186,0.54887,1.19294,0,1.63549,1.87381,1.73496,0.31045,1.43296,0,1.32624,0,0.77057,1.44978,1.10444,0,0.86404,0.63204,0.1215,0,0,0.96799,2.70173,0.39344,1.08876,0.60827,0.77376,0.42356,2.09329,0,0,0.43573,0.23277,0,1.2661,0,1.73735,0,0,0.74366,0,1.7389,0,0,0,1.8015,1.46619,0,1.6536,0,2.62969,1.43024,0,1.73486,1.51647,0,0,0,0,0,1.20484,1.22109,1.66142,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis",0,0,0,0,1.37651,0,1.27932,0,0,0,0,0,0,0,0,0,0,1.3522,0,0,0,0,0,1.3767,1.47166,0,0,1.52694,0,1.37114,1.47543,1.76106,1.91267,1.28205,1.45454,1.74753,0,1.23943,1.72756,1.77992,1.42131,1.38548,0,1.38514,0,2.56398,1.69203,1.64994,0,1.83876,1.55364,1.13488,0,0,1.73222,1.40377,1.86435,1.20664,1.13133,1.54675,1.70038,1.86671,0,0,1.196,0.90794,0,1.39654,0,1.7763,0,0,1.90626,0,1.34257,0,0,0,1.5487,1.39282,0,1.18109,0,1.22783,1.44721,0,1.10882,1.2127,0,0,0,0,0,1.41632,1.21816,1.29883,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0,0,0,0,0.24183,0,0.58481,0,0,0,0,0,0,0,0,0,0,0.44075,0,0,0,0,0,0.63904,0.32629,0,0,0.6648,0,0.68942,0.55278,0.59557,0.40432,0.31608,0.5843,0.59869,0,0.86445,0.42246,0.65328,0.41093,0.42612,0,0.56184,0,0.55972,0.57523,0.43184,0,0.453,0.28959,0.91361,0,0,0.67084,0.39653,0.57474,0.60815,0.68331,0.61417,0.54477,0.41017,0,0,0.44735,0.64722,0,0.47567,0,0.3857,0,0,0.63988,0,0.60991,0,0,0,0.58066,0.8051,0,0.59769,0,0.55039,0.51736,0,0.46451,0.4339,0,0,0,0,0,0.48701,0.63711,0.53518,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Emergencia|s__Emergencia_timonensis",0,0,0,0,0.44353,0,0.59907,0,0,0,0,0,0,0,0,0,0,0.35384,0,0,0,0,0,0.3854,0.26354,0,0,0.49923,0,0.33013,0.24912,0.62826,0.59015,0.45285,0.5481,0.67832,0,0.37734,0.51042,0.51927,0.45144,0.32748,0,0.49155,0,0.42063,0.36144,0.58069,0,0.57337,0.24638,0.4987,0,0,0.60166,0.35336,0.45874,0.38618,0.44854,0.4046,0.69074,0.55973,0,0,0.49677,0.3525,0,0.64431,0,0.66038,0,0,0.66964,0,0.37974,0,0,0,0.3214,0.55349,0,0.52173,0,0.29083,0.24862,0,0.29239,0.36714,0,0,0,0,0,0.32762,0.52318,0.418,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus",0,0,0,0,1.17883,0,0,0,0,0,0,0,0,0,0,0,0,0.50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77339,0,0,0,0,0.80589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05979,0,0,0,0,0.70071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70802,0,0,0,0.76216,0.46811,0,0.19237,0,0.66307,0.60865,0,0.5455,0.48701,0,0,0,0,0,0.876,0.17313,1.00969,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii",0,0,0,0,0,0,0.14765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1961,0.4441,0,0,0.10438,0,1.03001,0.04829,0.54485,0.19184,0.00789,0.27299,0.55517,0,0.22851,0,0.58073,0.43353,0.16562,0,0.20163,0,0.21219,0.24895,0.34711,0,0.26942,0.42257,1.10004,0,0,0.37551,0,0.78784,0.2489,0.73257,0.68727,0.05744,0.17483,0,0,0.10643,0.37409,0,0.17882,0,0.17349,0,0,1.02625,0,0.00274,0,0,0,0,0.02798,0,0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0.05718,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02263,0,0,0,0,0,0.01141,0.00515,0,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.00642,0.03496,0.04858,0,0.00808,0.04277,0.03598,0.02837,0.02634,0,0.03455,0,0.04798,0,0.01722,0,0.01307,0.01876,0.05437,0,0,0.03101,0,0.05302,0.01387,0.02453,0.03735,0.06314,0.00898,0,0,0.00366,0.02278,0,0.0298,0,0.01965,0,0,0.06259,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.02689,0.00499,0,0.01003,0.02642,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis",0,0,0,0,0.25158,0,0.02312,0,0,0,0,0,0,0,0,0,0,0.20854,0,0,0,0,0,0.01212,0.02909,0,0,0.0353,0,0.02093,0.04588,0,0.06333,0.30216,0.03657,0.00132,0,0.02695,0.26964,0.0318,0.08357,0.05721,0,0.09737,0,0.0907,0.02907,0.04562,0,0.06188,0.05169,0.01544,0,0,0.02804,0.25514,0.0093,0.04786,0.07186,0.00793,0.25776,0.07849,0,0,0.04134,0.02866,0,0.00629,0,0.04998,0,0,0.05064,0,0.27921,0,0,0,0.18431,0.08586,0,0.09543,0,0.39669,0.31097,0,0.23478,0.30001,0,0,0,0,0,0.35913,0.03681,0.15175,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25097,0,0,0,0,0,0.38177,1.34067,0.01274,0,0,0,0.02565,0,0.49453,0,0,0,0.55502,0,0.10583,0,0.1222,0.06214,0,0,0.04643,0,0.05119,0,0,0,0,0,0.43657,0.0338,0.12682,0,0,0,0,0,0.02719,0,0,0,0,0,0,0.01333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_clostridioformis|t__SGB4760",0,0,0,0,3.36511,0,4.91009,0,0,0,0,0,0,0,0,0,0,4.1276,0,0,0,0,0,2.7226,2.63801,0,0,3.50454,0,3.51194,2.24251,3.05795,5.07658,3.89437,2.86651,2.50385,0,3.25095,2.99347,4.60892,2.55524,2.1822,0,4.30314,0,0.73842,3.70294,3.74426,0,2.08989,4.42601,3.64356,0,0,2.66027,2.70677,3.13678,5.13912,2.97123,2.94152,3.86189,3.88924,0,0,2.93548,2.79604,0,4.62072,0,4.46064,0,0,2.35429,0,2.45476,0,0,0,2.71264,3.07432,0,2.67123,0,3.60469,2.60914,0,3.08436,3.61947,0,0,0,0,0,2.00731,3.97385,4.3999,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__SGB1934",0,0,0,0,2.10751,0,3.85052,0,0,0,0,0,0,0,0,0,0,3.78723,0,0,0,0,0,1.90649,3.73173,0,0,3.70012,0,2.86833,3.6424,2.97243,3.50254,1.91542,3.16478,2.84549,0,3.33811,1.88719,3.1446,2.7438,2.92883,0,3.99818,0,2.25028,4.52422,3.56585,0,3.88971,3.71452,2.53732,0,0,2.9494,2.43297,1.88352,4.09973,2.84985,2.43772,2.4674,4.00787,0,0,3.56563,2.62627,0,3.11861,0,3.26875,0,0,2.91597,0,3.51059,0,0,0,3.08906,3.42525,0,3.97647,0,3.72874,4.44861,0,3.72664,3.30705,0,0,0,0,0,2.86072,3.3641,2.38392,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum|t__SGB4811_group",0,0,0,0,0,0,2.63656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76536,3.96282,0,0,4.30405,0,2.49212,4.32912,3.20813,1.99145,0,3.17964,3.85965,0,2.815,0,2.29898,3.44563,2.91734,0,2.69967,0,4.05567,2.32387,2.89043,0,2.90893,4.01542,3.79071,0,0,3.41769,0,3.75611,2.54759,2.80667,4.28589,0,2.23782,0,0,2.94889,3.68368,0,1.70571,0,2.12687,0,0,3.64146,0,0,0,0,0,0,2.41597,0,1.66912,0,0,0,0,0,0,0,0,0,0,0,0,1.79137,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__SGB1861",0,0,0,0,1.89035,0,1.31833,0,0,0,0,0,0,0,0,0,0,1.87387,0,0,0,0,0,1.21453,1.38271,0,0,1.33734,0,0.99113,1.12807,0.99846,1.09418,1.5599,1.21023,0.93676,0,2.58906,1.52517,1.055,1.30476,1.22565,0,2.11407,0,0.78097,2.3043,1.07869,0,1.22513,1.24234,1.11193,0,0,0.96698,1.95995,1.29079,1.83269,1.25416,1.38453,1.70475,1.83791,0,0,1.20693,1.40472,0,1.32074,0,1.00035,0,0,0.82916,0,1.47554,0,0,0,1.38094,1.35756,0,1.75924,0,1.62366,1.4174,0,1.4583,1.66746,0,0,0,0,0,1.17021,1.44312,1.29697,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi|t__SGB4742",0,0,0,0,2.13188,0,1.50375,0,0,0,0,0,0,0,0,0,0,1.82451,0,0,0,0,0,0.34836,0.61351,0,0,0.93538,0,1.32588,0.71744,1.45261,1.5391,1.98186,0.54887,1.19294,0,1.63549,1.87381,1.73496,0.31045,1.43296,0,1.32624,0,0.77057,1.44978,1.10444,0,0.86404,0.63204,0.1215,0,0,0.96799,2.70173,0.39344,1.08876,0.60827,0.77376,0.42356,2.09329,0,0,0.43573,0.23277,0,1.2661,0,1.73735,0,0,0.74366,0,1.7389,0,0,0,1.8015,1.46619,0,1.6536,0,2.62969,1.43024,0,1.73486,1.51647,0,0,0,0,0,1.20484,1.22109,1.66142,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis|t__SGB4617",0,0,0,0,1.37651,0,1.27932,0,0,0,0,0,0,0,0,0,0,1.3522,0,0,0,0,0,1.3767,1.47166,0,0,1.52694,0,1.37114,1.47543,1.76106,1.91267,1.28205,1.45454,1.74753,0,1.23943,1.72756,1.77992,1.42131,1.38548,0,1.38514,0,2.56398,1.69203,1.64994,0,1.83876,1.55364,1.13488,0,0,1.73222,1.40377,1.86435,1.20664,1.13133,1.54675,1.70038,1.86671,0,0,1.196,0.90794,0,1.39654,0,1.7763,0,0,1.90626,0,1.34257,0,0,0,1.5487,1.39282,0,1.18109,0,1.22783,1.44721,0,1.10882,1.2127,0,0,0,0,0,1.41632,1.21816,1.29883,0,0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__SGB9283",0,0,0,0,0.55104,0,0.90649,0,0,0,0,0,0,0,0,0,0,0.52823,0,0,0,0,0,0.33567,0.48747,0,0,0.40096,0,0.72794,0.67851,0.6427,0.63339,0.58253,0.78345,0.40378,0,0.37007,0.91548,0.84689,0.62358,0.49413,0,0.72394,0,0.04136,0.87279,0.60493,0,0.44069,0.65186,0.81856,0,0,0.7384,0.73628,0.5549,0.78081,0.65073,0.43791,1.0459,0.75337,0,0,0.54855,0.84126,0,0.71389,0,0.64573,0,0,0.38857,0,0.69931,0,0,0,0.74016,0.66339,0,0.69508,0,0.75595,0.71612,0,0.72089,0.6545,0,0,0,0,0,0.80406,0.73503,0.48504,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__SGB1965",0,0,0,0,0.24183,0,0.58481,0,0,0,0,0,0,0,0,0,0,0.44075,0,0,0,0,0,0.63904,0.32629,0,0,0.6648,0,0.68942,0.55278,0.59557,0.40432,0.31608,0.5843,0.59869,0,0.86445,0.42246,0.65328,0.41093,0.42612,0,0.56184,0,0.55972,0.57523,0.43184,0,0.453,0.28959,0.91361,0,0,0.67084,0.39653,0.57474,0.60815,0.68331,0.61417,0.54477,0.41017,0,0,0.44735,0.64722,0,0.47567,0,0.3857,0,0,0.63988,0,0.60991,0,0,0,0.58066,0.8051,0,0.59769,0,0.55039,0.51736,0,0.46451,0.4339,0,0,0,0,0,0.48701,0.63711,0.53518,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Emergencia|s__Emergencia_timonensis|t__SGB3970",0,0,0,0,0.44353,0,0.59907,0,0,0,0,0,0,0,0,0,0,0.35384,0,0,0,0,0,0.3854,0.26354,0,0,0.49923,0,0.33013,0.24912,0.62826,0.59015,0.45285,0.5481,0.67832,0,0.37734,0.51042,0.51927,0.45144,0.32748,0,0.49155,0,0.42063,0.36144,0.58069,0,0.57337,0.24638,0.4987,0,0,0.60166,0.35336,0.45874,0.38618,0.44854,0.4046,0.69074,0.55973,0,0,0.49677,0.3525,0,0.64431,0,0.66038,0,0,0.66964,0,0.37974,0,0,0,0.3214,0.55349,0,0.52173,0,0.29083,0.24862,0,0.29239,0.36714,0,0,0,0,0,0.32762,0.52318,0.418,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus|t__SGB4584",0,0,0,0,1.17883,0,0,0,0,0,0,0,0,0,0,0,0,0.50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77339,0,0,0,0,0.80589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05979,0,0,0,0,0.70071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70802,0,0,0,0.76216,0.46811,0,0.19237,0,0.66307,0.60865,0,0.5455,0.48701,0,0,0,0,0,0.876,0.17313,1.00969,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__SGB15463",0,0,0,0,0,0,0.0062,0,0,0,0,0,0,0,0,0,0,0.04877,0,0,0,0,0,0.03999,0.03289,0,0,0.02648,0,0.03827,0.04832,0.02451,0.04615,0.06106,0.0353,0.01715,0,0.04361,0.06281,0.03737,0.08173,0.04384,0,0.06912,0,0.02935,0.05342,0.05554,0,0.04963,0.0394,0.0436,0,0,0.06076,0.05983,0.05365,0.05615,0.05229,0.04684,0.07749,0.07137,0,0,0.05869,0.07431,0,0.06854,0,0.05695,0,0,0.06477,0,0.04414,0,0,0,0.03739,0.04692,0,0.05905,0,0.08338,0.05493,0,0.04678,0.07964,0,0,0,0,0,0.05245,0.10887,0.06675,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii|t__SGB4794_group",0,0,0,0,0,0,0.14765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1961,0.4441,0,0,0.10438,0,1.03001,0.04829,0.54485,0.19184,0.00789,0.27299,0.55517,0,0.22851,0,0.58073,0.43353,0.16562,0,0.20163,0,0.21219,0.24895,0.34711,0,0.26942,0.42257,1.10004,0,0,0.37551,0,0.78784,0.2489,0.73257,0.68727,0.05744,0.17483,0,0,0.10643,0.37409,0,0.17882,0,0.17349,0,0,1.02625,0,0.00274,0,0,0,0,0.02798,0,0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0.05718,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__SGB7962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02263,0,0,0,0,0,0.01141,0.00515,0,0,0.01961,0,0.01478,0.01629,0.03796,0.01601,0.00642,0.03496,0.04858,0,0.00808,0.04277,0.03598,0.02837,0.02634,0,0.03455,0,0.04798,0,0.01722,0,0.01307,0.01876,0.05437,0,0,0.03101,0,0.05302,0.01387,0.02453,0.03735,0.06314,0.00898,0,0,0.00366,0.02278,0,0.0298,0,0.01965,0,0,0.06259,0,0.04207,0,0,0,0.04169,0.04576,0,0.03514,0,0.02689,0.00499,0,0.01003,0.02642,0,0,0,0,0,0.02531,0.04695,0.02248,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__SGB14963",0,0,0,0,0.25158,0,0.02312,0,0,0,0,0,0,0,0,0,0,0.20854,0,0,0,0,0,0.01212,0.02909,0,0,0.0353,0,0.02093,0.04588,0,0.06333,0.30216,0.03657,0.00132,0,0.02695,0.26964,0.0318,0.08357,0.05721,0,0.09737,0,0.0907,0.02907,0.04562,0,0.06188,0.05169,0.01544,0,0,0.02804,0.25514,0.0093,0.04786,0.07186,0.00793,0.25776,0.07849,0,0,0.04134,0.02866,0,0.00629,0,0.04998,0,0,0.05064,0,0.27921,0,0,0,0.18431,0.08586,0,0.09543,0,0.39669,0.31097,0,0.23478,0.30001,0,0,0,0,0,0.35913,0.03681,0.15175,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata|t__SGB4583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25097,0,0,0,0,0,0.38177,1.34067,0.01274,0,0,0,0.02565,0,0.49453,0,0,0,0.55502,0,0.10583,0,0.1222,0.06214,0,0,0.04643,0,0.05119,0,0,0,0,0,0.43657,0.0338,0.12682,0,0,0,0,0,0.02719,0,0,0,0,0,0,0.01333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02516,0,0.02049,0,0,0,0,0,0,0,0,0.01461,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02516,0,0.02049,0,0,0,0,0,0,0,0,0.01461,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__SGB10115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02516,0,0.02049,0,0,0,0,0,0,0,0,0.01461,0,0
